bucket,feature,target,type,n,pearson_r,pearson_p,spearman_r,spearman_p,n_true,n_false,mean_true,mean_false,diff
A: subscription-time,lead_broker_is_global_bank,perf_3m_pct,binary,246,,0.0017350760833160766,,,57.0,189.0,17.207531899218317,59.063503975662684,-41.85597207644437
A: subscription-time,lead_broker_is_global_bank,ipo_perf_1y_pct,binary,177,,0.1262320858242369,,,44.0,133.0,-4.454646727272728,35.620623015037594,-40.075269742310326
A: subscription-time,lead_broker_is_chinese_bank,day1_performance_pct,binary,248,,0.6075701054575807,,,198.0,50.0,18.095757575757577,22.662000000000006,-4.566242424242429
A: subscription-time,lead_broker_is_chinese_bank,perf_1m_pct,binary,246,,0.7501048325805886,,,196.0,50.0,27.282867386554017,31.716045897364985,-4.4331785108109685
A: subscription-time,lead_broker_is_chinese_bank,perf_3m_pct,binary,246,,0.1691786657663997,,,196.0,50.0,54.27016837646376,30.137571357375887,24.13259701908787
A: subscription-time,lead_broker_is_chinese_bank,ipo_perf_1y_pct,binary,177,,0.2292990648380594,,,135.0,42.0,11.909323999999991,69.8518967857143,-57.94257278571431
A: subscription-time,multiple_lead_brokers,day1_performance_pct,binary,248,,0.5018531294756672,,,168.0,80.0,20.63142857142857,15.62475,5.006678571428571
A: subscription-time,multiple_lead_brokers,perf_1m_pct,binary,246,,0.393932290070525,,,166.0,80.0,31.064714411096134,22.20627137988598,8.858443031210154
A: subscription-time,multiple_lead_brokers,perf_3m_pct,binary,246,,0.7336909873163417,,,166.0,80.0,51.19072227616589,45.57714589765192,5.613576378513976
A: subscription-time,multiple_lead_brokers,ipo_perf_1y_pct,binary,177,,0.3141363817992283,,,112.0,65.0,8.784628214285716,54.73323146153846,-45.94860324725274
B: day-1-eve,times_oversubscribed_retail,day1_open_to_close_pct,continuous,242,-0.12744735524995388,0.04765483369685074,-0.11917563185385384,0.06417809234250622,,,,,
B: day-1-eve,times_oversubscribed_retail,perf_5d_pct,continuous,240,0.40646436001641906,5.793646901828625e-11,0.3293260038784733,1.7733640080301925e-07,,,,,
B: day-1-eve,times_oversubscribed_retail,perf_20d_pct,continuous,240,0.30421946195561117,1.5657099043130933e-06,0.2454360574951536,0.00012236017443791988,,,,,
B: day-1-eve,times_oversubscribed_retail,perf_1m_pct,continuous,240,0.2952236457522332,3.2578940581065377e-06,0.24745020142538962,0.00010711379678417339,,,,,
B: day-1-eve,clawback_pct_triggered,day1_open_to_close_pct,continuous,181,0.0419943003394042,0.5745868997476141,-0.0162563255411236,0.8280481047868792,,,,,
B: day-1-eve,clawback_pct_triggered,perf_5d_pct,continuous,180,-0.0842001396779849,0.2611020307776435,-0.03672545437588169,0.6245187767167433,,,,,
B: day-1-eve,clawback_pct_triggered,perf_20d_pct,continuous,180,-0.10437792372252247,0.16318699743089418,-0.0386602955919995,0.6063703229479508,,,,,
B: day-1-eve,clawback_pct_triggered,perf_1m_pct,continuous,180,-0.10481113594255606,0.1614378237943305,-0.05131952906561903,0.4938627767310354,,,,,
B: day-1-eve,pool_a_1lot_allocation_rate_pct,day1_open_to_close_pct,continuous,248,0.05872422973344686,0.35709583947861584,0.13427099335428758,0.03456668147918659,,,,,
B: day-1-eve,pool_a_1lot_allocation_rate_pct,perf_5d_pct,continuous,246,-0.2717960771840241,1.539923952167252e-05,-0.3105073661169371,6.741291483990199e-07,,,,,
B: day-1-eve,pool_a_1lot_allocation_rate_pct,perf_20d_pct,continuous,246,-0.2484273152857127,8.199096421502483e-05,-0.22694590840796242,0.00033282646868806345,,,,,
B: day-1-eve,pool_a_1lot_allocation_rate_pct,perf_1m_pct,continuous,246,-0.25236388567975576,6.254522876726057e-05,-0.23740863824575947,0.00017092113596785892,,,,,
B: day-1-eve,num_valid_retail_applicants,day1_open_to_close_pct,continuous,238,-0.054137627727848095,0.4057435206360659,-0.08688106555172537,0.18161256786894583,,,,,
B: day-1-eve,num_valid_retail_applicants,perf_5d_pct,continuous,236,0.3228679070090691,3.9762018113841477e-07,0.2581041860520826,6.015266717592385e-05,,,,,
B: day-1-eve,num_valid_retail_applicants,perf_20d_pct,continuous,236,0.25990947180198226,5.3161275881387554e-05,0.20415950466284924,0.0016161261964530028,,,,,
B: day-1-eve,num_valid_retail_applicants,perf_1m_pct,continuous,236,0.25596959524274165,6.953439984411066e-05,0.2082157988687987,0.0012952967782397754,,,,,
B: day-1-eve,clawback_triggered_flag,day1_open_to_close_pct,binary,248,,0.6471072058295504,,,84.0,164.0,-0.7592417062271528,-1.7481128103943837,0.9888711041672309
B: day-1-eve,clawback_triggered_flag,perf_5d_pct,binary,246,,0.8010444306920628,,,84.0,162.0,22.841042857142856,25.278472814814815,-2.4374299576719594
B: day-1-eve,clawback_triggered_flag,perf_20d_pct,binary,246,,0.42967572081167604,,,84.0,162.0,23.58627142857143,31.713273734567906,-8.127002305996477
B: day-1-eve,clawback_triggered_flag,perf_1m_pct,binary,246,,0.47426860322560904,,,84.0,162.0,23.402387377991175,30.66323310420727,-7.260845726216093
C: post-day-1,day1_performance_pct,perf_5d_pct,continuous,246,0.8756109256456357,4.485410421575352e-79,0.8706810465466468,3.7508928147323726e-77,,,,,
C: post-day-1,day1_performance_pct,perf_20d_pct,continuous,246,0.8069874438521369,9.771427215723525e-58,0.7413213612748677,3.805193231205763e-44,,,,,
C: post-day-1,day1_performance_pct,perf_1m_pct,continuous,246,0.802738115252435,1.0502854430053182e-56,0.7488448227831649,1.7403331054221694e-45,,,,,
C: post-day-1,day1_performance_pct,perf_3m_pct,continuous,246,0.6081326746876367,2.851522774494682e-26,0.6060464666545554,4.6674864505417683e-26,,,,,
C: post-day-1,day1_open_premium_pct,perf_5d_pct,continuous,246,0.7707775966203994,1.1144097986051146e-49,0.7700902223349119,1.5328595837714068e-49,,,,,
C: post-day-1,day1_open_premium_pct,perf_20d_pct,continuous,246,0.6964111405405342,5.066952673915015e-37,0.6480672103342489,1.07845610858233e-30,,,,,
C: post-day-1,day1_open_premium_pct,perf_1m_pct,continuous,246,0.6937510934366221,1.2174707590428826e-36,0.6539331498706711,2.1215095832129107e-31,,,,,
C: post-day-1,day1_open_premium_pct,perf_3m_pct,continuous,246,0.5162371347970975,3.706618033945298e-18,0.5344227367557501,1.4318370409841292e-19,,,,,
C: post-day-1,day1_open_to_close_pct,perf_5d_pct,continuous,246,0.35462830860974914,1.0601837187066138e-08,0.33099499834991497,1.0630550590631487e-07,,,,,
C: post-day-1,day1_open_to_close_pct,perf_20d_pct,continuous,246,0.37028846177336905,2.0659723334062085e-09,0.35983214747516135,6.2173049729866874e-09,,,,,
C: post-day-1,day1_open_to_close_pct,perf_1m_pct,continuous,246,0.36811174457320794,2.6070510348455606e-09,0.35882764676549467,6.897125451095154e-09,,,,,
C: post-day-1,day1_open_to_close_pct,perf_3m_pct,continuous,246,0.2674715361663764,2.1236619621808416e-05,0.33253199235514724,9.20353336042548e-08,,,,,
C: post-day-1,day1_traded_volume_usd,perf_5d_pct,continuous,246,0.11564761085713945,0.07018674376352342,0.2625501641840823,3.041200338817045e-05,,,,,
C: post-day-1,day1_traded_volume_usd,perf_20d_pct,continuous,246,0.07601721873484063,0.2348607704686042,0.23103972025475314,0.000257350524743238,,,,,
C: post-day-1,day1_traded_volume_usd,perf_1m_pct,continuous,246,0.07890657320883954,0.2174930993972579,0.23273331400062822,0.00023106637534516325,,,,,
C: post-day-1,day1_traded_volume_usd,perf_3m_pct,continuous,246,0.07061845141362968,0.26987785002377196,0.21615322143471785,0.000641564707034296,,,,,
C: post-day-1,day1_volume_vs_free_float_pct,perf_5d_pct,continuous,246,0.19288081507645802,0.002378449383007078,0.21160731307316016,0.0008379987026177795,,,,,
C: post-day-1,day1_volume_vs_free_float_pct,perf_20d_pct,continuous,246,0.12254860914185942,0.05491457882017048,0.11949869060354615,0.0612856449703472,,,,,
C: post-day-1,day1_volume_vs_free_float_pct,perf_1m_pct,continuous,246,0.12718639398208473,0.04628547883551563,0.1339783422908045,0.03571626384814983,,,,,
C: post-day-1,day1_volume_vs_free_float_pct,perf_3m_pct,continuous,246,0.05993254473633721,0.3492426549181699,0.004352096628042566,0.9458551874628588,,,,,
