stock_code,company_name,ipo_date,doc_type,headline,url,resolved_from_htm_index,release_date,local_path,downloaded
02487,Cutia Therapeutics,2023-06-12,stabilization,"Announcements and Notices - [Other - Miscellaneous] - STABILIZING ACTIONS, END OF STABILIZATION PERIOD AND LAPSE OF THE OVER-ALLOTMENT OPTION",https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0705/2023070500577.pdf,,2023-07-05 16:32:00,pdfs/02487/stabilization_0.pdf,True
09690,TUHU Car Inc.,2023-09-26,prospectus,Listing Documents - [Offer for Subscription] - Global Offering,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0914/2023091400011.pdf,,2023-09-14 06:25:00,pdfs/09690/prospectus_0.pdf,True
09690,TUHU Car Inc.,2023-09-26,prospectus,Listing Documents - [Offer for Subscription] - Global Offering,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0914/10895823/2023091400029.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0914/2023091400024.htm,2023-09-14 07:05:00,pdfs/09690/prospectus_1.pdf,True
09690,TUHU Car Inc.,2023-09-26,prospectus,Listing Documents - [Offer for Subscription] - GREEN APPLICATION FORM,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0914/2023091400095.pdf,,2023-09-14 07:11:00,pdfs/09690/prospectus_2.pdf,True
09690,TUHU Car Inc.,2023-09-26,allotment,Announcements and Notices - [Allotment Results] - ANNOUNCEMENT OF FINAL OFFER PRICE AND ALLOTMENT RESULTS,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0925/10907481/2023092500014.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0925/2023092500012.htm,2023-09-25 06:22:00,pdfs/09690/allotment_0.pdf,True
09690,TUHU Car Inc.,2023-09-26,over_allotment_exercise,,,,,,False
09690,TUHU Car Inc.,2023-09-26,stabilization,"Announcements and Notices - [Other - Miscellaneous] - PARTIAL EXERCISE OF THE OVER-ALLOTMENT OPTION, STABILIZING ACTIONS AND END OF STABILIZATION PERIOD",https://www1.hkexnews.hk/listedco/listconews/sehk/2023/1019/2023101901082.pdf,,2023-10-19 22:40:00,pdfs/09690/stabilization_0.pdf,True
02228,QuantumPharm Inc.,2024-06-13,prospectus,Listing Documents - [Offer for Subscription] - GLOBAL OFFERING,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0604/2024060400065.pdf,,2024-06-04 06:40:00,pdfs/02228/prospectus_0.pdf,True
02228,QuantumPharm Inc.,2024-06-13,allotment,Announcements and Notices - [Allotment Results] - ANNOUNCEMENT OF FINAL OFFER PRICE AND ALLOTMENT RESULTS,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0612/2024061201745.pdf,,2024-06-12 22:58:00,pdfs/02228/allotment_0.pdf,True
02228,QuantumPharm Inc.,2024-06-13,over_allotment_exercise,,,,,,False
02228,QuantumPharm Inc.,2024-06-13,stabilization,"Announcements and Notices - [Other - Miscellaneous] - PARTIAL EXERCISE OF THE OVER-ALLOTMENT OPTION, STABILIZING ACTIONS AND END OF STABILIZATION PERIOD",https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0707/2024070700029.pdf,,2024-07-07 19:38:00,pdfs/02228/stabilization_0.pdf,True
02560,"Anhui Conch Material Technology Co., Ltd.",2025-01-09,prospectus,Listing Documents - [Offer for Subscription] - GLOBAL OFFERING,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/1231/2024123100162.pdf,,2024-12-31 06:47:00,pdfs/02560/prospectus_0.pdf,True
02560,"Anhui Conch Material Technology Co., Ltd.",2025-01-09,allotment,Announcements and Notices - [Allotment Results] - ANNOUNCEMENT OF FINAL OFFER PRICE AND ALLOTMENT RESULTS,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0108/2025010801080.pdf,,2025-01-08 22:18:00,pdfs/02560/allotment_0.pdf,True
02560,"Anhui Conch Material Technology Co., Ltd.",2025-01-09,over_allotment_exercise,,,,,,False
02560,"Anhui Conch Material Technology Co., Ltd.",2025-01-09,stabilization,,,,,,False
06082,"Shanghai Biren Technology Co., Ltd.",2026-01-02,prospectus,Listing Documents - [Offer for Subscription] - GLOBAL OFFERING,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1222/2025122200019.pdf,,2025-12-22 06:15:00,pdfs/06082/prospectus_0.pdf,True
06082,"Shanghai Biren Technology Co., Ltd.",2026-01-02,allotment,Announcements and Notices - [Allotment Results] - ANNOUNCEMENT OF FINAL OFFER PRICE AND ALLOTMENT RESULTS,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1231/2025123102783.pdf,,2025-12-31 22:50:00,pdfs/06082/allotment_0.pdf,True
06082,"Shanghai Biren Technology Co., Ltd.",2026-01-02,over_allotment_exercise,,,,,,False
06082,"Shanghai Biren Technology Co., Ltd.",2026-01-02,stabilization,"Announcements and Notices - [Other - Miscellaneous] - FULL EXERCISE OF THE OVER-ALLOTMENT OPTION, STABILIZING ACTIONS AND END OF STABILIZATION PERIOD",https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0128/2026012800772.pdf,,2026-01-28 18:52:00,pdfs/06082/stabilization_0.pdf,True
00100,MiniMax Group Inc.,2026-01-09,prospectus,Listing Documents - [Offer for Subscription] - GLOBAL OFFERING,https://www1.hkexnews.hk/listedco/listconews/sehk/2025/1231/2025123100025.pdf,,2025-12-31 06:10:00,pdfs/00100/prospectus_0.pdf,True
00100,MiniMax Group Inc.,2026-01-09,allotment,Announcements and Notices - [Allotment Results] - ANNOUNCEMENT OF FINAL OFFER PRICE AND ALLOTMENT RESULTS,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0108/2026010801342.pdf,,2026-01-08 22:40:00,pdfs/00100/allotment_0.pdf,True
00100,MiniMax Group Inc.,2026-01-09,over_allotment_exercise,Announcements and Notices - [Other - Miscellaneous] - FULL EXERCISE OF THE OVER-ALLOTMENT OPTION,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0111/2026011100015.pdf,,2026-01-11 19:13:00,pdfs/00100/over_allotment_exercise_0.pdf,True
00100,MiniMax Group Inc.,2026-01-09,stabilization,Announcements and Notices - [Other - Miscellaneous] - STABILIZING ACTIONS AND END OF STABILIZATION PERIOD,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0205/2026020502043.pdf,,2026-02-05 18:44:00,pdfs/00100/stabilization_0.pdf,True
