stock_code,company_name,ipo_date,doc_type,headline,url,resolved_from_htm_index,release_date,local_path,downloaded
02459,SANERGY GROUP LIMITED,2023-01-17,prospectus,Listing Documents - [Offer for Subscription] - GLOBAL OFFERING,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1230/2022123000059.pdf,,2022-12-30 06:18:00,pdfs/02459/prospectus_0.pdf,True
02459,SANERGY GROUP LIMITED,2023-01-17,prospectus,Listing Documents - [Offer for Subscription] - GREEN APPLICATION FORM,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1230/2022123000063.pdf,,2022-12-30 06:21:00,pdfs/02459/prospectus_1.pdf,True
02459,SANERGY GROUP LIMITED,2023-01-17,allotment,Announcements and Notices - [Allotment Results] - ANNOUNCEMENT OF FINAL OFFER PRICE AND ALLOTMENT RESULTS,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0116/10577021/2023011600010.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0116/2023011600008.htm,2023-01-16 06:27:00,pdfs/02459/allotment_0.pdf,True
02459,SANERGY GROUP LIMITED,2023-01-17,over_allotment_exercise,,,,,,False
02459,SANERGY GROUP LIMITED,2023-01-17,stabilization,"Announcements and Notices - [Other - Miscellaneous] - END OF STABILISATION PERIOD, NO STABILISATION ACTIONS AND LAPSE OF OVER-ALLOTMENT OPTION",https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0209/2023020900283.pdf,,2023-02-09 16:39:00,pdfs/02459/stabilization_0.pdf,True
02455,Runhua Living Service Group Holdings Limited,2023-01-17,prospectus,Listing Documents - [Offer for Subscription] - GLOBAL OFFERING,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1230/2022123000035.pdf,,2022-12-30 06:12:00,pdfs/02455/prospectus_0.pdf,True
02455,Runhua Living Service Group Holdings Limited,2023-01-17,prospectus,Listing Documents - [Offer for Subscription] - GREEN APPLICATION FORM,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1230/2022123000051.pdf,,2022-12-30 06:17:00,pdfs/02455/prospectus_1.pdf,True
02455,Runhua Living Service Group Holdings Limited,2023-01-17,allotment,Announcements and Notices - [Allotment Results] - Announcement of Offer Price and Allotment Result,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0116/10577027/2023011600026.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0116/2023011600024.htm,2023-01-16 06:40:00,pdfs/02455/allotment_0.pdf,True
02455,Runhua Living Service Group Holdings Limited,2023-01-17,over_allotment_exercise,,,,,,False
02455,Runhua Living Service Group Holdings Limited,2023-01-17,stabilization,"Announcements and Notices - [Other - Miscellaneous] - END OF STABILISATION PERIOD, NO STABILISING ACTION AND LAPSE OF THE OVER-ALLOTMENT OPTION",https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0208/2023020800031.pdf,,2023-02-08 07:57:00,pdfs/02455/stabilization_0.pdf,True
02306,YH Entertainment Group,2023-01-19,prospectus,Listing Documents - [Offer for Subscription] - GLOBAL OFFERING,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1230/2022123000047.pdf,,2022-12-30 06:14:00,pdfs/02306/prospectus_0.pdf,True
02306,YH Entertainment Group,2023-01-19,prospectus,Listing Documents - [Offer for Subscription] - GREEN APPLICATION FORM,https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1230/2022123000057.pdf,,2022-12-30 06:18:00,pdfs/02306/prospectus_1.pdf,True
02306,YH Entertainment Group,2023-01-19,allotment,Announcements and Notices - [Allotment Results] - ANNOUNCEMENT OF OFFER PRICE AND ALLOTMENT RESULTS,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0118/10579262/2023011800044.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0118/2023011800042.htm,2023-01-18 06:32:00,pdfs/02306/allotment_0.pdf,True
02306,YH Entertainment Group,2023-01-19,over_allotment_exercise,,,,,,False
02306,YH Entertainment Group,2023-01-19,stabilization,Announcements and Notices - [Other - Miscellaneous] - PARTIAL EXERCISE OF THE OVER-ALLOTMENT OPTION STABILIZING ACTIONS AND END OF STABILIZATION PERIOD,https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0212/2023021200017.pdf,,2023-02-12 18:08:00,pdfs/02306/stabilization_0.pdf,True
